                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91334,                0.60187,                 1.1076,                  1.446,                 1.0044,                 1.1209,                0.80113,                0.70501,                0.74927,                0.58684,                 1.1224,                0.77895,                 1.2288,                 1.4364,                 1.1078,                 1.1853,              0.0032843,              0.0032843,              0.0032843
                      2,                0.92642,                0.61419,                 1.1185,                 1.4473,                 1.0192,                 1.1302,                0.77343,                 0.7133,                0.74496,                0.57656,                 1.1024,                0.76739,                 1.2375,                 1.4397,                  1.104,                 1.2071,              0.0066111,              0.0066111,              0.0066111
                      3,                0.95257,                0.63292,                 1.1247,                 1.4945,                 1.0475,                 1.1335,                0.78049,                0.70259,                0.74119,                0.57164,                 1.1405,                 0.8059,                 1.2502,                 1.4681,                  1.131,                  1.213,              0.0099313,              0.0099313,              0.0099313
                      4,                0.96186,                0.63942,                 1.1285,                 1.5026,                 1.0478,                 1.1391,                0.77244,                0.69199,                 0.7386,                0.56136,                 1.1764,                 0.8582,                  1.263,                 1.5066,                 1.2042,                 1.2338,              0.0099703,              0.0099703,              0.0099703
                      5,                0.96595,                0.64325,                 1.1299,                 1.5107,                 1.0502,                 1.1401,                0.77143,                0.70268,                 0.7372,                0.55278,                 1.1649,                0.84413,                 1.2308,                 1.5111,                 1.1465,                 1.2302,              0.0099703,              0.0099703,              0.0099703
                      6,                0.98986,                0.65567,                 1.1383,                 1.5376,                 1.0712,                 1.1495,                0.79423,                 0.7133,                0.74493,                 0.5621,                 1.1772,                0.81525,                 1.2651,                 1.5147,                  1.123,                 1.2606,              0.0099604,              0.0099604,              0.0099604
                      7,                0.97842,                 0.6546,                 1.1438,                 1.5133,                 1.0735,                 1.1532,                0.76056,                0.69833,                0.73772,                0.54267,                 1.1911,                0.82734,                 1.2517,                 1.5509,                 1.1348,                 1.2545,              0.0099505,              0.0099505,              0.0099505
                      8,                0.98218,                 0.6583,                 1.1394,                 1.5457,                 1.0737,                 1.1504,                0.78014,                0.68393,                0.73549,                0.54388,                 1.2364,                0.90007,                 1.3185,                 1.5583,                 1.2376,                 1.2946,              0.0099406,              0.0099406,              0.0099406
                      9,                0.97224,                0.65219,                 1.1333,                 1.5202,                 1.0743,                 1.1457,                0.76267,                0.69497,                 0.7307,                 0.5622,                 1.1527,                0.82666,                 1.2421,                 1.4995,                 1.1762,                 1.2113,              0.0099307,              0.0099307,              0.0099307
                     10,                0.97831,                0.65029,                 1.1429,                 1.5185,                 1.0581,                  1.157,                0.77978,                0.70545,                0.73668,                0.56046,                 1.1889,                0.82104,                 1.2906,                 1.5404,                 1.1577,                 1.2475,              0.0099208,              0.0099208,              0.0099208
                     11,                0.98948,                0.66244,                 1.1453,                 1.5207,                 1.0823,                 1.1539,                0.73483,                0.68025,                0.72446,                0.52404,                 1.1918,                0.85362,                 1.2858,                 1.5359,                 1.1928,                 1.2884,              0.0099109,              0.0099109,              0.0099109
                     12,                0.97684,                0.65785,                 1.1323,                 1.5243,                 1.0802,                 1.1441,                0.76957,                0.71715,                0.73721,                0.54967,                 1.2276,                 0.8429,                 1.3593,                 1.5721,                 1.1944,                 1.2649,               0.009901,               0.009901,               0.009901
                     13,                 1.0029,                0.66325,                 1.1442,                 1.5621,                 1.0946,                  1.156,                0.77682,                0.71475,                0.74445,                0.56979,                 1.1617,                0.79016,                 1.2958,                 1.4811,                 1.1633,                 1.2249,              0.0098911,              0.0098911,              0.0098911
